DATA_ORA_MINUTI_RILEVAMENTO_BASE,anno,mese,giorno,DATA_RILEVAMENTO_BASE,num_giorno_sett,ora,ora_minuti,minuti,ID_QUARTO_D_ORA,festivo,FasciaAEEG,DATA_ORA_MINUTI_RILEVAMENTO_BASE_nodst,Fabbisogno,Prelievo,Autoproduzione,Autoproduzione_PV,PV Cittadella,PV Ex Fucine,Fev-,PV Ex Fucine Est,PV Ex Fucine Ovest,PV Aule P,DIATI/DISAT,Aule R
1/1/23 0:00,2023,1,1,1/1/23,7,0,0:00,0,1,S,F3,1/1/23 0:00,270.6,270.6,0,0,0,0,0,0,0,0,0,0
1/1/23 0:15,2023,1,1,1/1/23,7,0,0:15,15,2,S,F3,1/1/23 0:15,271.9,271.9,0,0,0,0,0,0,0,0,0,0
1/1/23 0:30,2023,1,1,1/1/23,7,0,0:30,30,3,S,F3,1/1/23 0:30,269.6,269.6,0,0,0,0,0,0,0,0,0,0
1/1/23 0:45,2023,1,1,1/1/23,7,0,0:45,45,4,S,F3,1/1/23 0:45,271.6,271.6,0,0,0,0,0,0,0,0,0,0
1/1/23 1:00,2023,1,1,1/1/23,7,1,1:00,0,5,S,F3,1/1/23 1:00,269.9,269.9,0,0,0,0,0,0,0,0,0,0
1/1/23 1:15,2023,1,1,1/1/23,7,1,1:15,15,6,S,F3,1/1/23 1:15,268.6,268.6,0,0,0,0,0,0,0,0,0,0
1/1/23 1:30,2023,1,1,1/1/23,7,1,1:30,30,7,S,F3,1/1/23 1:30,271.9,271.9,0,0,0,0,0,0,0,0,0,0
1/1/23 1:45,2023,1,1,1/1/23,7,1,1:45,45,8,S,F3,1/1/23 1:45,267.6,267.6,0,0,0,0,0,0,0,0,0,0
1/1/23 2:00,2023,1,1,1/1/23,7,2,2:00,0,9,S,F3,1/1/23 2:00,271.3,271.3,0,0,0,0,0,0,0,0,0,0
1/1/23 2:15,2023,1,1,1/1/23,7,2,2:15,15,10,S,F3,1/1/23 2:15,267.6,267.6,0,0,0,0,0,0,0,0,0,0
1/1/23 2:30,2023,1,1,1/1/23,7,2,2:30,30,11,S,F3,1/1/23 2:30,269.9,269.9,0,0,0,0,0,0,0,0,0,0
1/1/23 2:45,2023,1,1,1/1/23,7,2,2:45,45,12,S,F3,1/1/23 2:45,271.6,271.6,0,0,0,0,0,0,0,0,0,0
1/1/23 3:00,2023,1,1,1/1/23,7,3,3:00,0,13,S,F3,1/1/23 3:00,267,267,0,0,0,0,0,0,0,0,0,0
1/1/23 3:15,2023,1,1,1/1/23,7,3,3:15,15,14,S,F3,1/1/23 3:15,272.6,272.6,0,0,0,0,0,0,0,0,0,0
1/1/23 3:30,2023,1,1,1/1/23,7,3,3:30,30,15,S,F3,1/1/23 3:30,270.6,270.6,0,0,0,0,0,0,0,0,0,0
1/1/23 3:45,2023,1,1,1/1/23,7,3,3:45,45,16,S,F3,1/1/23 3:45,269.3,269.3,0,0,0,0,0,0,0,0,0,0
1/1/23 4:00,2023,1,1,1/1/23,7,4,4:00,0,17,S,F3,1/1/23 4:00,269,268.9,0,0,0,0,0,0,0,0,0,0
1/1/23 4:15,2023,1,1,1/1/23,7,4,4:15,15,18,S,F3,1/1/23 4:15,271.6,271.6,0,0,0,0,0,0,0,0,0,0
1/1/23 4:30,2023,1,1,1/1/23,7,4,4:30,30,19,S,F3,1/1/23 4:30,273.3,273.2,0,0,0,0,0,0,0,0,0,0
1/1/23 4:45,2023,1,1,1/1/23,7,4,4:45,45,20,S,F3,1/1/23 4:45,269.6,269.6,0,0,0,0,0,0,0,0,0,0
1/1/23 5:00,2023,1,1,1/1/23,7,5,5:00,0,21,S,F3,1/1/23 5:00,274.9,274.9,0,0,0,0,0,0,0,0,0,0
1/1/23 5:15,2023,1,1,1/1/23,7,5,5:15,15,22,S,F3,1/1/23 5:15,272.3,272.3,0,0,0,0,0,0,0,0,0,0
1/1/23 5:30,2023,1,1,1/1/23,7,5,5:30,30,23,S,F3,1/1/23 5:30,270.9,270.9,0,0,0,0,0,0,0,0,0,0
1/1/23 5:45,2023,1,1,1/1/23,7,5,5:45,45,24,S,F3,1/1/23 5:45,274.2,274.2,0,0,0,0,0,0,0,0,0,0
1/1/23 6:00,2023,1,1,1/1/23,7,6,6:00,0,25,S,F3,1/1/23 6:00,272.9,272.9,0,0,0,0,0,0,0,0,0,0
1/1/23 6:15,2023,1,1,1/1/23,7,6,6:15,15,26,S,F3,1/1/23 6:15,275.9,275.9,0,0,0,0,0,0,0,0,0,0
